"Digital Energy Ltd", "Rd No. 12", "+880 2-8900710"
"Deputy Police Commissioner (Traffic North) Office", "2 Rd No. 21", "+880 1711-000990"
"Jadoo Digital Nikunja-2 Office", "Rd No. 10", "+880 9613-016503"
"Evince Corporate Office", "Lotus Kamal Tower, Front Rd", "+880 2-9020491"
"Aranya Crafts Ltd", "House-1/A, Road-21, Nikunja-2, Khilkhet", "+880 1798-578687"
"Viyellatex Group", "Le Méridien Dhaka (Level 6), 79/A Commercial Area, Airport Road,, Nikunja 2", "+880 2-9813001"
"Dhaly Construction Ltd", "23°49'57. 90°25'01., 6"N Rd No. 2", "+880 2-8953403"
"EL-NINO GROUP", "House-18, 2 Road No 10", "+880 1711-991723"
"Comtextile (H.K.) Ltd.", "57, Lotus-Kamal Tower One, Zoar Shahara Commercial Area, Nikunja-2, North, Airport Road", "+880 2-8900851"
"Innova Engineering Ltd.", "1/A, H# R#1/B", "+880 1799-920846"
"Cindrella fashion", "Rd No. 2", "+880 2-8900493"
"Virtual Staffs", "27 Rd No. 2", "+880 2-8900079"
"Bipzy Limited", "Rd No. 20", "+880 2-55098353"
"Khilkhet Post Office", "2nd Floor, Ka-2 Rd No. 2", "+880 2-9555531"
"Promec,Probity,Area", "house 32-34, Rd No. 19", "+880 1712-582755"
"Dhaka Multi Feeds Limited", "House # 43, # 02,, Rd No. 18", "+880 1975-040102"
"Ntitas IT Limited", "Rd No. 7", "+880 1990-407012"
